ID,Language_ID,Translated_Text,Comment,Primary_Text,Analyzed_Word,Gloss,Source
nki-11,tri,"Well, my village had become bad (to live), the Bushnegros,",Wïta (15/Feb/2002) says: his old place in Surinam.,"Ma, jipata wïrïpë=me teese, Meekoro,",ma	ji-pata-Ø	wɨrɨpə	me	t-Ø-ee-se	meekoro,Attn	1-village-Psfx	bad.thing	Ess	Pst-Sa-Cop-Pst	bush.negro,SM-tri
nki-12,tri,the Bushnegros afflicted/attacked the village.,,pata tïhkërënmae Meekoro=ja.,pata	tɨ-hkərənma-e	meekoro	ja,village	Pst-attack-Pst	bush.negro	Agt,SM-tri
nki-13,tri,Then for me to stay here,"What does this sentence really mean? Why /irë=npë=po=ro/ 'in what used to be there'? --check! Wïta (15/Feb/2002) : /irënpë=po=ro wï, jiwëepïhpë=po=ro wï/ = /tëewa=pa wae, Suurinan=pona=pa/ (i.e. I stayed only in my past coming...). Wïta says that the idea is that Naaki's village was attacked/destroyed/harassed, so he came to Brazil and never went back. João do Vale (15/Feb/2002)  translates /irënpë=po=ro/ as 'desde aquele vez, desde aquele tempo'. /irënpë=po/ sounds a bit more like 'in that place (where it happened), says João do Vale, but /irënpë=po=ro/ sounds more like a time expression. (cf. /po/ with months, etc.).",Irëme irënpë=po=ro jiwehtoo=me sen=po,irəme	irə-npə	po	ro	ji-w-eh-too	me	sen	po,so	3InAna-Pst	Loc	Idtf	1-Sa-Cop-Circ	Ess	3InPx	Loc,SM-tri
nki-14,tri,for me not to go back to Surinam.,,tëewa=pa jiwehtoo=me Suurinan=pona=pa.,tə-ewa	pa	ji-w-eh-too	me	suurinan	pona	pa,go-Neg	Rpt	1-Sa-Cop-Circ	Ess	Surinam	Dir	Rpt,SM-tri
nki-15,tri,"The Bushnegros... the Bushnegroes came, the Bushnegroes arrived then,",,"Meekoro... Meekoro tïwëese tïtuntae Meekoro irë=mao,",meekoro	meekoro	tɨ-w-əe-se	tɨ-tunta-e	meekoro	irə	mao,bush.negro	bush.negro	Pst-Sa-come-Pst	Pst-arrive-Pst	bush.negro	3InAna	at.time,SM-tri
nki-16,tri,"Surati's people were there, Tiriyós, my relatives.","Is Surati someone's name, or is it an ethnic group, or a geographic name?... --check! No, just the word for 'soldiers'...","Surati=ton teese irë=po tarëno, jimoitï.",surati	ton	t-Ø-ee-se	irə	po	tarəno	ji-moitɨ-Ø,soldier	Col	Pst-Sa-Cop-Pst	3InAna	Loc	Tiriyó	1-relative-Psfx,SM-tri
nki-17,tri,Then Surati's people caught them (= the Bushnegros?),,Irëme nëërë tëpëëse Surati=tomo=ja,irəme	nərə	rə	t-əpəə-se	surati	tomo	ja,so	3AnAna	Idtf	Pst-catch-Pst	Surati	Col	Agt,SM-tri
nki-18,tri,"then he (= Bushnegro?) floundered,",Port. gloss: 'agitar os braços'.,"tïpi=tïpijoose nëërë,",tɨpi~tɨ-pijoo-se	nərə,Iter~Pst-flounder-Pst	3AnAna,SM-tri
nki-19,tri,"then, they also were in need there (= they were poor, their life was hard)",,"irëme, tïwëësapëkëmae=marë irë=po,",irəme	tɨ-w-əəsapəkəma-e	marə	irə	po,so	Pst-Sa-be.in.need-Cty	too	3InAna	Loc,SM-tri
nki-20,tri,so that I didn't go back there.,,tëewa=pa jiwehtoo=me irë=pona=pa.,tə-ewa	pa	ji-w-eh-too	me	irə	pona	pa,go-Neg	Rpt	1-Sa-Cop-Circ	Ess	3InAna	Dir	Rpt,SM-tri
nki-21,tri,So I came here.,,Irë apo wëene sen=pona.,irə	apo	w-əe-ne	sen	pona,3InAna	like	1Sa-come-DPst	3InPx	Dir,SM-tri
nki-22,tri,"Well, my birth place is,",,"Ma, jenuhtoponpë nai,",ma	j-enuh-topo-npə	n-ai,Attn	1-be.born-Circ-Pst	3Sa-Cop,SM-tri
nki-23,tri,"my birthplace is a true river, the Kakaimë stream.",,"jenuhtoponpë eeku=rën nai, Kakaimë eeku.",j-enuh-topo-npə	eeku	rən	n-ai	kakaimə	eeku,1-be.born-Circ-Pst	stream	truly	3Sa-Cop	Kakaimë	stream,SM-tri
nki-24,tri,"But, it´s only a river, the Paruma.","At first, I thought Naaki had said /Paru=marë/ ´the Paru (river) too,´ but since he referred later on to a river called Paruma, it seems that he was talking about it here too. Is there a Paruma river? --check. Wïta (15/Feb/2002): the name of the river is Paruman, the foreigners call it 'Parumeu'; it's called like this because its waters were hot -- /parume/.","Këpëewa, tuna=rëken irë=rëken tuna, Paruma=rë.",kəpəewa	tuna	rəken	irə	rəken	tuna	paruma	rə,but	river	only	3InAna	only	river	Paruma	Idtf,SM-tri
nki-25,tri,"only (in) Surinam, only a river.",,Suurinan=rëken tuna=rëken.,suurinan	rəken	tuna	rəken,Surinam	only	river	only,SM-tri
nki-26,tri,"There I was born, the Kakaimë stream is my birthplace,",,"Irë=po jenuune, Kakaimë eeku nai jenuhtoponpë,",irə	po	j-enuu-ne	kakaimə	eeku	n-ai	j-enuh-topo-npə,3InAna	Loc	1So-be.born-DPst	Kakaimë	stream	3Sa-Cop	1-be.born-Circ-Pst,SM-tri
nki-27,tri,the Kakaimë stream is my real birthplace.,,"Kakaimë eeku nai, jenuhtoponpë=rën.",kakaimə	eeku	n-ai	j-enuh-topo-npə	rən,Kakaimë	stream	3Sa-Cop	1-be.born-Circ-Pst	truly,SM-tri
nki-28,tri,I was a kid (there).,I.e. ´my ex-living place as a child.´,Mure=me jiwehtoponpë=rën.,mure	me	ji-w-eh-topo-npə	rən,child	Ess	1-Sa-Cop-Circ-Pst	truly,SM-tri
nki-29,tri,"Well, my father took me,",,"Ma, pahko=ja tërëe=wï,",ma	pah-ko	ja	t-ərə-e	wɨ,Attn	father-1	Agt	Pst-take-Pst	1,SM-tri
nki-30,tri,"my father settled down elsewhere, in Kutarentu.",,"tïwërën=po=pa pahko teepatantëe, Kutarentu=po.",tɨwərə-n	po	pa	pah-ko	t-VV-e-pata-ntə-e	kutarentu	po,other-Ent	Loc	Rpt	father-1	Pst-Sa-Detr-place-Prov-Pst	Kutarentu	Loc,SM-tri
nki-31,tri,"There I was as a child,",,"Irë=po teese=wï mure=me,",irə	po	t-Ø-ee-se	wɨ	mure	me,3InAna	Loc	Pst-Sa-Cop-Pst	1	child	Ess,SM-tri
nki-32,tri,then my father died.,,irë=mao pahko waa=nei.,irə	mao	pah-ko	waa	n-ei-Ø,3InAna	at.time	father-1	not	3Sa-Cop-I.Pst,SM-tri
nki-33,tri,"my father´s name is, my father´s name is Juru.",,"Pahko eka nai, pahko eka nai, Juru.",pah-ko	Ø-eka-Ø	n-ai	pah-ko	Ø-eka-Ø	n-ai	juru,father-1	3-name-Psfx	3Sa-Cop	father-1	3-name-Psfx	3Sa-Cop	Juru,SM-tri
nki-34,tri,"Well, at that time I was a child,",,"Ma irë=mao mure=me teese=wï,",ma	irə	mao	mure	me	t-Ø-ee-se	wɨ,Attn	3InAna	at.time	child	Ess	Pst-Sa-Cop-Pst	1,SM-tri
nki-36,tri,My older brother´s name is Kawate; he´s the one who raised me.,,"Pihko eka nai, Kawate, jarimikanenpë.",pipi-ko	Ø-eka-Ø	n-ai	kawate	j-arimika-ne-npə,old.brother-1	3-name-Psfx	3Sa-Cop	Kawate	1-raise-A-Pst,SM-tri
nki-37,tri,"He raised me there, well, enough.",,"Jarimika irë=po, ma naka.",j-arimika-Ø	irə	po	ma	naka,1O-raise-Psfx	3InAna	Loc	Attn	end,SM-tri
nki-38,tri,"After that he took me down the Paruma,",,"Irënpë=pëe jarë, Paruma aarena.",irə-npə	pəe	j-arə-Ø	paruma	aarena,3InAna-Pst	from	1O-take-I.Pst	Paruma	downstream,SM-tri
nki-39,tri,"There he settled me, I was still a child.",,"Irë=po jipatantë, mure=me=nkërë=wï.",irə	po	ji-pata-ntə-Ø	mure	me	nkərə	wɨ,3InAna	Loc	1-place-Prov-I.Pst	child	Ess	still	1,SM-tri
nki-40,tri,"He took me there, and made a new place (= house, village) there.",,"Ma irë=po jarë, tïwërëno=ro=pa tïrëe iija pata.",ma	irə	po	j-arə-Ø	tɨwərə-no	ro	pa	tɨ-rə-e	i-:ja	pata,Attn	3InAna	Loc	1O-take-I.Pst	other-Ent	Idtf	Rpt	Pst-make-Pst	3-Agt	place,SM-tri
nki-41,tri,"There I was a child, well (then) he took me elsewhere,",,"Irë=po mure=me=wï, ma tïwërëno=ro=pona jarë,",irə	po	mure	me	wɨ	ma	tɨwərə-no	ro	pona	j-arə-Ø,3InAna	Loc	child	Ess	1	Attn	other-Ent	Idtf	Dir	1-take-I.Pst,SM-tri
nki-42,tri,"there I became a young man, tall, a young man.","Why is /naka/ here? A mistake? The original had a question mark above it; check! Wïta (15/Feb/2002) says: /naka kïrïmukume/ = /tamutupë me wei kato/, I'm not a young man anymore.","irë=mao kïrïmuku=me wei, mono=me, naka kïrïnmuku=me.",irə	mao	kɨrɨmuku	me	w-ei-Ø	mono	me	naka	kɨrɨnmuku	me,3InAna	at.time	young.man	Ess	1Sa-Cop-I.Pst	big	Ess	end	young.man	Ess,SM-tri
nki-43,tri,Then he took me again somewhere else.,,Irë=mao jarë tïwërëno=ro=pona=pa.,irə	mao	j-arə-Ø	tɨwərə-no	ro	pona	pa,3InAna	at.time	1O-take-I.Pst	other-Ent	Idtf	Dir	Rpt,SM-tri
nki-44,tri,"My older brother cleared many places,",,"Iijeeta pata akëtë pihko,",iijeeta	pata	akətə-Ø	pipi-ko,a.lot	place	clear-I.Pst	old.brother-1,SM-tri
nki-45,tri,"he cleared and cleared and cleared and cleared, a lot, places.",,"nakëtë, nakëtë, nakëtë, nakëtë, iijeeta, pata.",n-akətə-Ø	n-akətə-Ø	n-akətə-Ø	n-akətə-Ø	iijeeta	pata,3Sa-clear-I.Pst	3Sa-clear-I.Pst	3Sa-clear-I.Pst	3Sa-clear-I.Pst	a.lot	place,SM-tri
nki-46,tri,"There I became a young man, there I got a wife,",,"Irë=po kïrïmuku=me wei, irë=po jipïhtane.",irə	po	kɨrɨmuku	me	w-ei-Ø	irə	po	ji-pɨhta-ne,3InAna	Loc	young.man	Ess	1Sa-Cop-I.Pst	3InAna	Loc	1So-get.wife-DPst,SM-tri
nki-47,tri,"there I got a wife, someone from Brazil.","Notice the two long /oo/; the first one seems to be a remnant of the 3rd-person /i-/ that should be there; the second one, of the /-rï/ ´Psfx´. Since Naaki appears to have K-Tiriyó features, he pronounces /-rï po/ > /hpo/ as [:po] rather than [hfo].",karaiwa noonoo=pon=ke jipïhtane.,karaiwa	Ø-nono-Ø	po-n	ke	ji-pɨhta-ne,Brazilian	3-land-Psfx	Loc-Ent	Inst	1So-get.wife-DPst,SM-tri
nki-48,tri,"From the Brazilian land went a woman, she went still young.","In the original, I had /hpëe/ with a question mark on top of /nono=pëe/. Is this a case of possession or not? (cf. previous example) -- check! Wïta (15/Feb/2002) says: /karaiwa noonoo=pëe/; he doesn't like /karaiwa nonoo=pëe/ very much.","Karaiwa nono=pëe tïïtëe wëri, wëri, wërimuku=me tïïtëe.",karaiwa	nono	pəe	tɨ-VV-tə-e	wəri	wəri	wərimuku	me	tɨ-VV-tə-e,Brazilian	earth	from	Pst-Sa-go-Pst	woman	woman	young.woman	Ess	Pst-Sa-go-Pst,SM-tri
nki-49,tri,"Well, I was a young man too.",,Ma sehken=marë=wï kïrïmuku=me.,ma	sehken	marə	wɨ	kɨrɨmuku	me,Attn	equally	too	1	young.man	Ess,SM-tri
nki-50,tri,"There I /?/,",/ëewama/: check meaning! Wïta (15/Feb/2002): /tïpïh=pë/ (i.e. he wanted (to marry) a woman).,"Irë=po, tëewaamane,",irə	po	t-ə-ewaama-ne,3InAna	Loc	1Sa-Detr-make.desire-DPst,SM-tri
nki-51,tri,"then I asked her maternal uncle, Enkiman.",From the tape: [enkimano=ja]; Naaki repeated [enkimaña].,"irë=mao wepekaane eetï=ja, Enkiman=ja.",irə	mao	w-epekaa-ne	Ø-eetɨ	ja	enkiman	ja,3InAna	at.time	1A-ask-DPst	3-uncle	to	Enkiman	to,SM-tri
nki-52,tri,"I want her as my wife, I said.",,Mëe=se=wae jipï=me wïkane.,məe	se	w-a-e	ji-pɨ	me	wɨ-ka-ne,3AnPx	Desid	1Sa-Cop-Cty	1-wife	Ess	1Sa-say-DPst,SM-tri
nki-53,tri,Then he gave her to me.,,Irë=mao nekarama wïja.,irə	mao	n-ekarama-Ø	wɨ	ja,3InAna	at.time	3AO-give-I.Pst	1	to,SM-tri
nki-54,tri,"Well, after all this, I stayed there some time,",,"Ma irënpë=pëenonpë irë=po wei akëresa,",ma	irə-npə	pəe-no-npə	irə	po	w-ei-Ø	akəresaka,Attn	3InAna-Pst	from-Ent-Pst	3InAna	Loc	1Sa-Cop-I.Pst	long.time,SM-tri
nki-55,tri,"well then, my older brother died,",,"ma naka, turu waa=nei pihko,",ma	naka	turu	waa	n-ei-Ø	pipi-ko,Attn	end	death?	not	3Sa-Cop-I.Pst	old.brother-1,SM-tri
nki-56,tri,"the one who raised me, hop! dead.",,"jarimikanenpë, turu, naka.",j-arimika-ne-npə	turu	naka,1-raise-A-Pst	death?	end,SM-tri
nki-57,tri,"Well, after that, I came, finally, to the Brazilian land.",Is this really a Genitive Phrase without /i-/? --check with an H-Tiriyó speaker if there's [hf] instead of [o:p].,"Ma irënpë=pëe, wëe, irënehka, karaiwa noonoo=pona.",ma	irə-npə	pəe	w-əe-Ø	irənehka	karaiwa	Ø-nono-Ø	pona,Attn	3InAna-Pst	from	1Sa-come-I.Pst	finally	Brazilian	3-land-Psfx	Dir,SM-tri
nki-58,tri,"My older brother had died, everybody had died.",,"Pihko waa=teese, ameraarë waken teese.",pipi-ko	waa	t-Ø-ee-se	ameraarə	wakene	t-Ø-ee-se,old.brother-1	not	Pst-Sa-Cop-Pst	all	Neg.Ex	Pst-Sa-Cop-Pst,SM-tri
nki-59,tri,"My father had died, my mother had died,",,"Pahko waa=teese, manko waa=teese,",pah-ko	waa	t-Ø-ee-se	man-ko	waa	t-Ø-ee-se,father-1	not	Pst-Sa-Cop-Pst	mother-1	not	Pst-Sa-Cop-Pst,SM-tri
nki-60,tri,everyone had disappeared (= cf. Port. 'tinham se acabado').,,ameraarë tïwëtïhkae.,ameraarə	tɨ-w-ətɨhka-e,everyone	Pst-Sa-be.over-Pst,SM-tri
nki-61,tri,Then I came to the Brazilian land.,"Genitive Phrase or simple modification? --check! (the first long /oo/ might be the result of 'phonological incorporation,' in case /karaiwa nonoo=pona/ is only one phonological word; unlikely, but... check.)","Irëme wëene, karaiwa noonoo=pona.",irəme	w-əe-ne	karaiwa	Ø-nono-Ø	pona,so	1Sa-come-DPst	Brazilian	3-land-Psfx	Dir,SM-tri
nki-62,tri,"I stayed there, in the Brazilian land.",,Irë=po wei karaiwa noonoo=po.,irə	po	w-ei-Ø	karaiwa	Ø-nono-Ø	po,3InAna	Loc	1Sa-Cop-I.Pst	Brazilian	3-land-Psfx	Loc,SM-tri
nki-63,tri,"Along another (river), the Okomokï.",,Tïwërëno=ro=tae Okomokï=tae.,tɨwərə-no	ro	tae	okomokɨ	tae,other-Ent	Idtf	along	Okomokï	alon,SM-tri
nki-64,tri,"I stayed there, then, (it was) over, I went again to Surinam,",,"Irë=po wei, naka, ma wïtën=pa Suurinan=pona=pa,",irə	po	w-ei-Ø	naka	ma	wɨ-tən-Ø	pa	suurinan	pona	pa,3InAna	Loc	1Sa-Cop-I.Pst	end	Attn	1Sa-go-I.Pst	Rpt	Surinam	Dir	Rpt,SM-tri
nki-65,tri,"There I was, then my mother died,",,"Irë=po wei, irë=mao manko waa=nei",irə	po	w-ei-Ø	irə	mao	man-ko	waa	n-ei-Ø,3InAna	Loc	1Sa-Cop-I.Pst	3InAna	at.time	mother-1	not	3Sa-Cop-I.Pst,SM-tri
nki-66,tri,"her older sister, she died too.",,"iwëihpë, waa=nei=nkërë=pa.",i-wəi-hpə	waa	n-ei-Ø	nkərə	pa,3-old.sister-P.pst	not	3Sa-Cop-I.Pst	still	Rpt,SM-tri
nki-67,tri,"Well, it's over, only I was (left), I who was a kid.",,"Naka, ma naka, wïï=rëken wei murenpë=me wei.",naka	ma	naka	wɨɨ	rəken	w-ei-Ø	mure-npə	me	w-ei-Ø,end	Attn	end	1	only	1Sa-Cop-I.Pst	child-Pst	Ess	1Sa-Cop-I.Pst,SM-tri
